Date,Max_TemperatureC,Mean_TemperatureC,Min_TemperatureC,ColE,ColF,ColG,ColH,ColI
1/01/1948,10,8,7,10,8,7,8,7
1/02/1948,6,4,3,6,4,3,4,3
1/03/1948,7,4,2,7,4,2,4,2
1/04/1948,7,4,2,7,4,2,4,2
1/05/1948,7,3,0,7,3,0,3,0
1/06/1948,9,7,5,9,7,5,7,5
1/07/1948,10,7,4,10,7,4,7,4
1/08/1948,8,5,2,8,5,2,5,2
1/09/1948,9,4,1,9,4,1,4,1
1/10/1948,6,4,2,6,4,2,4,2
1/11/1948,5,3,1,5,3,1,3,1
1/12/1948,5,1,-2,5,1,-2,1,-2
1/13/1948,7,3,-1,7,3,-1,3,-1
1/14/1948,3,0,-3,3,0,-3,0,-3
1/15/1948,1,1,0,1,1,0,1,0
1/16/1948,1,-1,-2,1,-1,-2,-1,-2
1/17/1948,1,0,-1,1,0,-1,0,-1
1/18/1948,1,0,-1,1,0,-1,0,-1
1/19/1948,1,-1,-2,1,-1,-2,-1,-2
1/20/1948,2,1,-1,2,1,-1,1,-1
1/21/1948,8,4,1,8,4,1,4,1
1/22/1948,8,7,5,8,7,5,7,5
1/23/1948,8,7,7,8,7,7,7,7
1/24/1948,6,4,2,6,4,2,4,2
1/25/1948,8,4,0,8,4,0,4,0
1/26/1948,7,4,1,7,4,1,4,1
1/27/1948,11,6,1,11,6,1,6,1
1/28/1948,12,4,-3,12,4,-3,4,-3
1/29/1948,6,3,2,6,3,2,3,2
1/30/1948,8,3,-1,8,3,-1,3,-1
1/31/1948,1,-1,-2,1,-1,-2,-1,-2
2/01/1948,4,2,0,4,2,0,2,0
2/02/1948,6,2,-2,6,2,-2,2,-2
2/03/1948,3,0,-2,3,0,-2,0,-2
2/04/1948,4,2,0,4,2,0,2,0
2/05/1948,2,0,-2,2,0,-2,0,-2
2/06/1948,6,0,-6,6,0,-6,0,-6
2/07/1948,6,2,-2,6,2,-2,2,-2
2/08/1948,6,4,3,6,4,3,4,3
2/09/1948,6,3,1,6,3,1,3,1
2/10/1948,3,0,-2,3,0,-2,0,-2
2/11/1948,7,1,-4,7,1,-4,1,-4
2/12/1948,6,2,-2,6,2,-2,2,-2
2/13/1948,8,6,3,8,6,3,6,3
2/14/1948,7,6,5,7,6,5,6,5
2/15/1948,6,4,3,6,4,3,4,3
2/16/1948,11,7,3,11,7,3,7,3
2/17/1948,13,10,8,13,10,8,10,8
2/18/1948,8,4,1,8,4,1,4,1
2/19/1948,6,3,0,6,3,0,3,0
2/20/1948,7,4,2,7,4,2,4,2
2/21/1948,9,7,4,9,7,4,7,4
2/22/1948,8,6,4,8,6,4,6,4
2/23/1948,8,6,3,8,6,3,6,3
2/24/1948,7,4,3,7,4,3,4,3
2/25/1948,8,7,6,8,7,6,7,6
2/26/1948,9,7,4,9,7,4,7,4
2/27/1948,8,6,3,8,6,3,6,3
2/28/1948,9,5,1,9,5,1,5,1
2/29/1948,7,4,2,7,4,2,4,2
3/01/1948,7,4,1,7,4,1,4,1
3/02/1948,9,4,0,9,4,0,4,0
3/03/1948,11,4,-1,11,4,-1,4,-1
3/04/1948,14,7,1,14,7,1,7,1
3/05/1948,8,7,6,8,7,6,7,6
3/06/1948,8,7,6,8,7,6,7,6
3/07/1948,6,3,2,6,3,2,3,2
3/08/1948,6,3,1,6,3,1,3,1
3/09/1948,8,4,2,8,4,2,4,2
3/10/1948,10,5,0,10,5,0,5,0
3/11/1948,10,5,0,10,5,0,5,0
3/12/1948,14,10,6,14,10,6,10,6
3/13/1948,10,7,3,10,7,3,7,3
3/14/1948,11,7,2,11,7,2,7,2
3/15/1948,11,7,3,11,7,3,7,3
3/16/1948,10,6,2,10,6,2,6,2
3/17/1948,10,7,3,10,7,3,7,3
3/18/1948,8,6,3,8,6,3,6,3
3/19/1948,7,4,2,7,4,2,4,2
3/20/1948,7,4,2,7,4,2,4,2
3/21/1948,8,6,4,8,6,4,6,4
3/22/1948,6,3,0,6,3,0,3,0
3/23/1948,12,6,0,12,6,0,6,0
3/24/1948,12,7,3,12,7,3,7,3
3/25/1948,10,7,3,10,7,3,7,3
3/26/1948,13,8,3,13,8,3,8,3
3/27/1948,19,11,4,19,11,4,11,4
3/28/1948,18,12,6,18,12,6,12,6
3/29/1948,9,7,4,9,7,4,7,4
3/30/1948,17,11,4,17,11,4,11,4
3/31/1948,12,8,5,12,8,5,8,5
4/01/1948,8,6,4,8,6,4,6,4
4/02/1948,7,4,2,7,4,2,4,2
4/03/1948,7,4,1,7,4,1,4,1
4/04/1948,9,4,1,9,4,1,4,1
4/05/1948,11,6,1,11,6,1,6,1
4/06/1948,6,4,2,6,4,2,4,2
4/07/1948,13,7,0,13,7,0,7,0
4/08/1948,15,8,1,15,8,1,8,1
4/09/1948,10,8,5,10,8,5,8,5
4/10/1948,12,8,4,12,8,4,8,4
4/11/1948,10,7,4,10,7,4,7,4
4/12/1948,9,7,4,9,7,4,7,4
4/13/1948,15,9,4,15,9,4,9,4
4/14/1948,17,11,6,17,11,6,11,6
4/15/1948,18,14,10,18,14,10,14,10
4/16/1948,17,12,7,17,12,7,12,7
4/17/1948,12,10,8,12,10,8,10,8
4/18/1948,14,11,6,14,11,6,11,6
4/19/1948,16,10,4,16,10,4,10,4
4/20/1948,18,11,4,18,11,4,11,4
4/21/1948,13,10,8,13,10,8,10,8
4/22/1948,13,10,7,13,10,7,10,7
4/23/1948,12,9,7,12,9,7,9,7
4/24/1948,8,7,6,8,7,6,7,6
4/25/1948,8,6,3,8,6,3,6,3
4/26/1948,9,5,1,9,5,1,5,1
4/27/1948,11,6,1,11,6,1,6,1
4/28/1948,7,7,6,7,7,6,7,6
4/29/1948,12,7,2,12,7,2,7,2
4/30/1948,13,8,2,13,8,2,8,2
5/01/1948,14,9,4,14,9,4,9,4
5/02/1948,14,8,3,14,8,3,8,3
5/03/1948,12,9,7,12,9,7,9,7
5/04/1948,13,10,7,13,10,7,10,7
5/05/1948,13,10,8,13,10,8,10,8
5/06/1948,14,11,7,14,11,7,11,7
5/07/1948,15,11,6,15,11,6,11,6
5/08/1948,12,9,7,12,9,7,9,7
5/09/1948,11,9,6,11,9,6,9,6
5/10/1948,13,10,7,13,10,7,10,7
5/11/1948,17,12,8,17,12,8,12,8
5/12/1948,12,9,7,12,9,7,9,7
5/13/1948,12,10,7,12,10,7,10,7
5/14/1948,14,10,7,14,10,7,10,7
5/15/1948,18,12,7,18,12,7,12,7
5/16/1948,13,11,10,13,11,10,11,10
5/17/1948,17,12,7,17,12,7,12,7
5/18/1948,16,12,8,16,12,8,12,8
5/19/1948,16,11,6,16,11,6,11,6
5/20/1948,22,14,7,22,14,7,14,7
5/21/1948,17,13,9,17,13,9,13,9
5/22/1948,18,14,10,18,14,10,14,10
5/23/1948,18,14,11,18,14,11,14,11
5/24/1948,27,19,11,27,19,11,19,11
5/25/1948,23,17,11,23,17,11,17,11
5/26/1948,21,16,10,21,16,10,16,10
5/27/1948,16,13,11,16,13,11,13,11
5/28/1948,12,11,10,12,11,10,11,10
5/29/1948,14,12,10,14,12,10,12,10
5/30/1948,21,14,8,21,14,8,14,8
5/31/1948,25,17,9,25,17,9,17,9
6/01/1948,22,16,9,22,16,9,16,9
6/02/1948,24,17,11,24,17,11,17,11
6/03/1948,19,16,13,19,16,13,16,13
6/04/1948,21,16,10,21,16,10,16,10
6/05/1948,24,17,9,24,17,9,17,9
6/06/1948,27,20,13,27,20,13,20,13
6/07/1948,30,23,16,30,23,16,23,16
6/08/1948,29,22,16,29,22,16,22,16
6/09/1948,26,21,14,26,21,14,21,14
6/10/1948,24,19,14,24,19,14,19,14
6/11/1948,16,14,12,16,14,12,14,12
6/12/1948,19,14,11,19,14,11,14,11
6/13/1948,19,16,12,19,16,12,16,12
6/14/1948,22,17,11,22,17,11,17,11
6/15/1948,21,16,11,21,16,11,16,11
6/16/1948,16,14,12,16,14,12,14,12
6/17/1948,18,14,12,18,14,12,14,12
6/18/1948,22,16,11,22,16,11,16,11
6/19/1948,20,16,12,20,16,12,16,12
6/20/1948,16,14,12,16,14,12,14,12
6/21/1948,17,14,11,17,14,11,14,11
6/22/1948,17,13,11,17,13,11,13,11
6/23/1948,21,15,9,21,15,9,15,9
6/24/1948,18,14,11,18,14,11,14,11
6/25/1948,18,14,11,18,14,11,14,11
6/26/1948,22,17,11,22,17,11,17,11
6/27/1948,26,19,12,26,19,12,19,12
6/28/1948,28,21,14,28,21,14,21,14
6/29/1948,28,21,14,28,21,14,21,14
6/30/1948,23,18,13,23,18,13,18,13
7/01/1948,21,14,8,21,14,8,14,8
7/02/1948,21,14,7,21,14,7,14,7
7/03/1948,24,17,10,24,17,10,17,10
7/04/1948,19,14,11,19,14,11,14,11
7/05/1948,19,15,11,19,15,11,15,11
7/06/1948,21,16,11,21,16,11,16,11
7/07/1948,18,14,11,18,14,11,14,11
7/08/1948,22,16,10,22,16,10,16,10
7/09/1948,25,18,11,25,18,11,18,11
7/10/1948,22,18,14,22,18,14,18,14
7/11/1948,22,17,13,22,17,13,17,13
7/12/1948,22,17,11,22,17,11,17,11
7/13/1948,24,18,11,24,18,11,18,11
7/14/1948,25,18,12,25,18,12,18,12
7/15/1948,28,20,12,28,20,12,20,12
7/16/1948,27,20,14,27,20,14,20,14
7/17/1948,27,21,14,27,21,14,21,14
7/18/1948,16,14,13,16,14,13,14,13
7/19/1948,18,16,13,18,16,13,16,13
7/20/1948,19,16,13,19,16,13,16,13
7/21/1948,23,18,14,23,18,14,18,14
7/22/1948,22,17,12,22,17,12,17,12
7/23/1948,22,17,13,22,17,13,17,13
7/24/1948,22,16,10,22,16,10,16,10
7/25/1948,26,18,10,26,18,10,18,10
7/26/1948,26,19,12,26,19,12,19,12
7/27/1948,18,14,12,18,14,12,14,12
7/28/1948,21,17,12,21,17,12,17,12
7/29/1948,22,17,11,22,17,11,17,11
7/30/1948,27,21,15,27,21,15,21,15
7/31/1948,30,22,15,30,22,15,22,15
8/01/1948,24,18,13,24,18,13,18,13
8/02/1948,19,16,13,19,16,13,16,13
8/03/1948,20,17,14,20,17,14,17,14
8/04/1948,18,14,11,18,14,11,14,11
8/05/1948,17,14,11,17,14,11,14,11
8/06/1948,21,16,11,21,16,11,16,11
8/07/1948,21,16,11,21,16,11,16,11
8/08/1948,23,18,12,23,18,12,18,12
8/09/1948,22,18,14,22,18,14,18,14
8/10/1948,20,17,13,20,17,13,17,13
8/11/1948,17,14,12,17,14,12,14,12
8/12/1948,23,18,14,23,18,14,18,14
8/13/1948,18,16,13,18,16,13,16,13
8/14/1948,19,14,11,19,14,11,14,11
8/15/1948,20,16,12,20,16,12,16,12
8/16/1948,21,17,13,21,17,13,17,13
8/17/1948,23,18,14,23,18,14,18,14
8/18/1948,23,18,13,23,18,13,18,13
8/19/1948,19,16,13,19,16,13,16,13
8/20/1948,18,15,12,18,15,12,15,12
8/21/1948,18,16,13,18,16,13,16,13
8/22/1948,21,17,13,21,17,13,17,13
8/23/1948,20,16,11,20,16,11,16,11
8/24/1948,17,14,13,17,14,13,14,13
8/25/1948,22,18,14,22,18,14,18,14
8/26/1948,21,17,12,21,17,12,17,12
8/27/1948,16,14,13,16,14,13,14,13
8/28/1948,27,20,13,27,20,13,20,13
8/29/1948,23,18,14,23,18,14,18,14
8/30/1948,21,17,13,21,17,13,17,13
8/31/1948,22,17,11,22,17,11,17,11
9/01/1948,23,17,11,23,17,11,17,11
9/02/1948,21,16,12,21,16,12,16,12
9/03/1948,19,16,12,19,16,12,16,12
9/04/1948,20,16,11,20,16,11,16,11
9/05/1948,21,14,8,21,14,8,14,8
9/06/1948,21,15,9,21,15,9,15,9
9/07/1948,23,17,11,23,17,11,17,11
9/08/1948,26,20,14,26,20,14,20,14
9/09/1948,27,21,15,27,21,15,21,15
9/10/1948,27,20,14,27,20,14,20,14
9/11/1948,24,18,13,24,18,13,18,13
9/12/1948,23,17,12,23,17,12,17,12
9/13/1948,23,18,12,23,18,12,18,12
9/14/1948,19,15,11,19,15,11,15,11
9/15/1948,17,14,12,17,14,12,14,12
9/16/1948,17,12,8,17,12,8,12,8
9/17/1948,19,13,8,19,13,8,13,8
9/18/1948,22,14,7,22,14,7,14,7
9/19/1948,21,14,9,21,14,9,14,9
9/20/1948,19,15,11,19,15,11,15,11
9/21/1948,16,13,10,16,13,10,13,10
9/22/1948,11,9,7,11,9,7,9,7
9/23/1948,12,9,6,12,9,6,9,6
9/24/1948,14,9,4,14,9,4,9,4
9/25/1948,15,9,3,15,9,3,9,3
9/26/1948,10,9,7,10,9,7,9,7
9/27/1948,20,13,7,20,13,7,13,7
9/28/1948,14,10,6,14,10,6,10,6
9/29/1948,14,9,4,14,9,4,9,4
9/30/1948,17,11,6,17,11,6,11,6
10/01/1948,24,15,6,24,15,6,15,6
10/02/1948,20,14,9,20,14,9,14,9
10/03/1948,18,14,11,18,14,11,14,11
10/04/1948,15,11,8,15,11,8,11,8
10/05/1948,12,9,6,12,9,6,9,6
10/06/1948,15,11,8,15,11,8,11,8
10/07/1948,17,13,9,17,13,9,13,9
10/08/1948,17,11,5,17,11,5,11,5
10/09/1948,20,12,4,20,12,4,12,4
10/10/1948,13,11,10,13,11,10,11,10
10/11/1948,13,10,7,13,10,7,10,7
10/12/1948,13,9,6,13,9,6,9,6
10/13/1948,12,8,4,12,8,4,8,4
10/14/1948,14,10,7,14,10,7,10,7
10/15/1948,13,8,4,13,8,4,8,4
10/16/1948,16,11,6,16,11,6,11,6
10/17/1948,18,11,4,18,11,4,11,4
10/18/1948,19,12,6,19,12,6,12,6
10/19/1948,17,11,6,17,11,6,11,6
10/20/1948,17,11,5,17,11,5,11,5
10/21/1948,13,10,7,13,10,7,10,7
10/22/1948,16,12,8,16,12,8,12,8
10/23/1948,15,10,7,15,10,7,10,7
10/24/1948,16,11,7,16,11,7,11,7
10/25/1948,12,9,6,12,9,6,9,6
10/26/1948,12,9,4,12,9,4,9,4
10/27/1948,12,6,1,12,6,1,6,1
10/28/1948,7,4,2,7,4,2,4,2
10/29/1948,11,8,4,11,8,4,8,4
10/30/1948,8,7,7,8,7,7,7,7
10/31/1948,8,7,6,8,7,6,7,6
11/01/1948,8,6,3,8,6,3,6,3
11/02/1948,9,7,6,9,7,6,7,6
11/03/1948,11,7,3,11,7,3,7,3
11/04/1948,9,6,2,9,6,2,6,2
11/05/1948,10,7,4,10,7,4,7,4
11/06/1948,10,6,2,10,6,2,6,2
11/07/1948,8,5,2,8,5,2,5,2
11/08/1948,8,3,-2,8,3,-2,3,-2
11/09/1948,7,2,-2,7,2,-2,2,-2
11/10/1948,8,3,-1,8,3,-1,3,-1
11/11/1948,5,2,0,5,2,0,2,0
11/12/1948,7,5,3,7,5,3,5,3
11/13/1948,8,7,6,8,7,6,7,6
11/14/1948,10,8,6,10,8,6,8,6
11/15/1948,8,6,4,8,6,4,6,4
11/16/1948,8,6,3,8,6,3,6,3
11/17/1948,6,4,3,6,4,3,4,3
11/18/1948,7,4,2,7,4,2,4,2
11/19/1948,8,6,4,8,6,4,6,4
11/20/1948,9,8,5,9,8,5,8,5
11/21/1948,8,6,4,8,6,4,6,4
11/22/1948,11,9,5,11,9,5,9,5
11/23/1948,10,8,6,10,8,6,8,6
11/24/1948,9,8,6,9,8,6,8,6
11/25/1948,7,4,1,7,4,1,4,1
11/26/1948,7,3,1,7,3,1,3,1
11/27/1948,8,5,2,8,5,2,5,2
11/28/1948,8,6,3,8,6,3,6,3
11/29/1948,7,5,3,7,5,3,5,3
11/30/1948,7,6,4,7,6,4,6,4
12/01/1948,8,6,4,8,6,4,6,4
12/02/1948,6,4,2,6,4,2,4,2
12/03/1948,5,3,1,5,3,1,3,1
12/04/1948,4,1,-1,4,1,-1,1,-1
12/05/1948,5,3,1,5,3,1,3,1
12/06/1948,5,3,2,5,3,2,3,2
12/07/1948,4,3,2,4,3,2,3,2
12/08/1948,3,1,0,3,1,0,1,0
12/09/1948,7,4,1,7,4,1,4,1
12/10/1948,8,6,4,8,6,4,6,4
12/11/1948,6,4,4,6,4,4,4,4
12/12/1948,6,4,2,6,4,2,4,2
12/13/1948,3,2,1,3,2,1,2,1
12/14/1948,3,2,1,3,2,1,2,1
12/15/1948,3,1,-1,3,1,-1,1,-1
12/16/1948,6,3,-1,6,3,-1,3,-1
12/17/1948,2,-1,-4,2,-1,-4,-1,-4
12/18/1948,3,-1,-4,3,-1,-4,-1,-4
12/19/1948,7,4,3,7,4,3,4,3
12/20/1948,7,4,1,7,4,1,4,1
12/21/1948,3,1,0,3,1,0,1,0
12/22/1948,3,1,-1,3,1,-1,1,-1
12/23/1948,3,-2,-6,3,-2,-6,-2,-6
12/24/1948,2,-3,-8,2,-3,-8,-3,-8
12/25/1948,4,1,-2,4,1,-2,1,-2
12/26/1948,7,1,-5,7,1,-5,1,-5
12/27/1948,1,-2,-6,1,-2,-6,-2,-6
12/28/1948,7,3,0,7,3,0,3,0
12/29/1948,6,3,2,6,3,2,3,2
12/30/1948,7,4,2,7,4,2,4,2
12/31/1948,5,3,1,5,3,1,3,1
1/01/1949,2,0,-2,2,0,-2,0,-2
1/02/1949,3,-1,-4,3,-1,-4,-1,-4
1/03/1949,1,-3,-8,1,-3,-8,-3,-8
1/04/1949,3,-2,-6,3,-2,-6,-2,-6
1/05/1949,4,1,-2,4,1,-2,1,-2
1/06/1949,9,6,3,9,6,3,6,3
1/07/1949,8,3,-3,8,3,-3,3,-3
1/08/1949,-1,-4,-8,-1,-4,-8,-4,-8
1/09/1949,-2,-6,-10,-2,-6,-10,-6,-10
1/10/1949,-2,-6,-10,-2,-6,-10,-6,-10
1/11/1949,2,-3,-8,2,-3,-8,-3,-8
1/12/1949,2,-2,-6,2,-2,-6,-2,-6
1/13/1949,5,-1,-7,5,-1,-7,-1,-7
1/14/1949,2,-1,-3,2,-1,-3,-1,-3
1/15/1949,7,2,-2,7,2,-2,2,-2
1/16/1949,5,1,-3,5,1,-3,1,-3
1/17/1949,5,3,1,5,3,1,3,1
1/18/1949,2,0,-1,2,0,-1,0,-1
1/19/1949,2,-1,-4,2,-1,-4,-1,-4
1/20/1949,-1,-3,-6,-1,-3,-6,-3,-6
1/21/1949,1,-2,-5,1,-2,-5,-2,-5
1/22/1949,1,-2,-5,1,-2,-5,-2,-5
1/23/1949,-2,-5,-8,-2,-5,-8,-5,-8
1/24/1949,-2,-5,-8,-2,-5,-8,-5,-8
1/25/1949,2,-3,-7,2,-3,-7,-3,-7
1/26/1949,-1,-2,-3,-1,-2,-3,-2,-3
1/27/1949,2,-1,-3,2,-1,-3,-1,-3
1/28/1949,4,-2,-7,4,-2,-7,-2,-7
1/29/1949,3,0,-2,3,0,-2,0,-2
1/30/1949,3,0,-2,3,0,-2,0,-2
1/31/1949,2,1,-1,2,1,-1,1,-1
2/01/1949,2,-1,-4,2,-1,-4,-1,-4
2/02/1949,1,-1,-3,1,-1,-3,-1,-3
2/03/1949,2,0,-2,2,0,-2,0,-2
2/04/1949,1,-1,-4,1,-1,-4,-1,-4
2/05/1949,2,-2,-5,2,-2,-5,-2,-5
2/06/1949,3,1,0,3,1,0,1,0
2/07/1949,3,1,0,3,1,0,1,0
2/08/1949,5,3,1,5,3,1,3,1
2/09/1949,6,4,2,6,4,2,4,2
2/10/1949,6,2,-1,6,2,-1,2,-1
2/11/1949,3,0,-2,3,0,-2,0,-2
2/12/1949,0,-3,-6,0,-3,-6,-3,-6
2/13/1949,1,-3,-7,1,-3,-7,-3,-7
2/14/1949,3,1,-1,3,1,-1,1,-1
2/15/1949,6,3,1,6,3,1,3,1
2/16/1949,8,7,6,8,7,6,7,6
2/17/1949,6,3,1,6,3,1,3,1
2/18/1949,4,2,0,4,2,0,2,0
